1,1,359.531,18.947,36.771,28.942,0.77709,-1.0,-1.0,-1.0
1,2,76.280,77.883,76.538,50.284,0.67492,-1.0,-1.0,-1.0
1,3,796.287,84.471,42.861,35.842,0.66960,-1.0,-1.0,-1.0
1,4,637.875,16.717,71.761,123.660,0.65699,-1.0,-1.0,-1.0
1,5,197.022,41.767,49.465,29.084,0.60122,-1.0,-1.0,-1.0
1,6,311.476,7.607,37.628,26.163,0.59988,-1.0,-1.0,-1.0
1,7,558.804,94.925,48.508,40.074,0.54935,-1.0,-1.0,-1.0
1,8,751.216,45.731,38.911,43.200,0.47719,-1.0,-1.0,-1.0
1,9,752.497,30.634,36.243,56.556,0.41955,-1.0,-1.0,-1.0
2,2,66.041,79.918,75.352,50.330,0.83031,-1.0,-1.0,-1.0
2,3,793.846,83.220,44.715,34.557,0.71627,-1.0,-1.0,-1.0
2,4,637.267,14.464,70.722,121.523,0.63380,-1.0,-1.0,-1.0
2,1,353.334,19.367,40.333,30.011,0.62723,-1.0,-1.0,-1.0
2,5,189.921,41.418,50.550,30.840,0.61855,-1.0,-1.0,-1.0
2,6,309.633,6.937,37.784,26.635,0.55955,-1.0,-1.0,-1.0
2,7,563.011,88.556,43.738,41.682,0.54758,-1.0,-1.0,-1.0
2,8,750.396,41.142,38.802,46.019,0.49601,-1.0,-1.0,-1.0
3,2,63.881,84.217,67.719,49.293,0.74279,-1.0,-1.0,-1.0
3,3,793.542,78.897,43.217,34.763,0.72893,-1.0,-1.0,-1.0
3,5,185.081,42.006,50.319,30.804,0.72048,-1.0,-1.0,-1.0
3,4,639.653,12.544,67.750,120.814,0.66649,-1.0,-1.0,-1.0
3,7,565.813,86.203,42.385,38.960,0.64007,-1.0,-1.0,-1.0
3,1,350.264,20.065,38.288,32.070,0.61241,-1.0,-1.0,-1.0
3,6,305.250,6.369,39.262,28.204,0.54806,-1.0,-1.0,-1.0
3,9,750.099,26.487,37.700,56.212,0.48148,-1.0,-1.0,-1.0
4,3,791.849,78.253,42.458,32.461,0.76147,-1.0,-1.0,-1.0
4,5,178.156,43.087,53.167,32.244,0.70438,-1.0,-1.0,-1.0
4,4,639.705,12.938,67.285,115.658,0.69668,-1.0,-1.0,-1.0
4,2,40.762,87.622,80.438,54.173,0.69004,-1.0,-1.0,-1.0
4,1,346.232,21.179,38.097,33.139,0.68736,-1.0,-1.0,-1.0
4,7,567.593,82.449,43.842,37.411,0.61027,-1.0,-1.0,-1.0
4,6,302.787,8.195,37.324,28.370,0.58852,-1.0,-1.0,-1.0
4,9,748.777,25.609,39.028,54.923,0.45820,-1.0,-1.0,-1.0
5,3,791.320,74.915,40.905,33.065,0.73839,-1.0,-1.0,-1.0
5,5,173.556,42.644,52.780,34.041,0.69716,-1.0,-1.0,-1.0
5,4,641.579,11.537,64.455,113.779,0.68150,-1.0,-1.0,-1.0
5,1,342.222,22.849,38.666,32.416,0.66480,-1.0,-1.0,-1.0
5,2,27.916,92.414,80.819,52.677,0.65227,-1.0,-1.0,-1.0
